

WARNING ⚠️ inference results will accumulate in RAM unless `stream=True` is passed, causing potential out-of-memory
video 1/1 (frame 13/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 14/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 15/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 16/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 17/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 18/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 19/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 20/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 21/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 22/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 23/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 24/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 25/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 26/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 27/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 28/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 29/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 30/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 31/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 32/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 33/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 34/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 35/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 36/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 37/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 38/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 39/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 40/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 41/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 42/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 43/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 44/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 45/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 46/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 47/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 48/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 49/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 50/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 51/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 52/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 53/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 54/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 55/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 56/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 57/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 58/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 59/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 60/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 61/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 62/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 63/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 64/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 65/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 66/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 67/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 68/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 69/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 70/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 71/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 72/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 73/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 74/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 75/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 76/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 77/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 78/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 79/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 80/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 81/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 82/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 83/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 84/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 85/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 86/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 87/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 88/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 89/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 90/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 91/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 92/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 93/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 94/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 95/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 96/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 97/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 98/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 99/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 100/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 101/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 102/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 103/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 104/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 105/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 106/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 107/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 108/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 109/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 110/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 111/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 112/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 113/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 114/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 115/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 116/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 117/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 118/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 119/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 120/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.9ms
video 1/1 (frame 121/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 8.5ms
video 1/1 (frame 122/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 123/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 124/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 125/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 126/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 127/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 128/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 129/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 130/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 131/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 132/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 133/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 134/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 135/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 136/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 137/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 138/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 139/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 140/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 141/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 142/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 143/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 144/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 145/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 146/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 147/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 148/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 149/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 150/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 151/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 152/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 153/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 154/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 155/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 156/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 157/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 158/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 159/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 160/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 161/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 162/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 163/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 164/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 165/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 166/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 167/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 168/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 169/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 170/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 171/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 172/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 173/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 174/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 175/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 176/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 177/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 178/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 179/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 180/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 181/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 182/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 183/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 184/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 185/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 186/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 187/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 (no detections), 7.3ms
video 1/1 (frame 188/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 (no detections), 7.3ms
